"dataset","source_id","trait","ancestry","genome_build","tier","p_threshold","candidate_snps","strong_snps","mapped_snps","post_clump_snps","min_f","mean_f","exclusion_reason"
"microbiome_2026","GCST90670418","Gut microbiome species presence (Catenibacterium sp000437715, GCF_004168205.1)","EUR","GRCh37","exploratory",1e-05,21,21,21,13,19.7849590832595,21.3841648628632,""
"microbiome_2026","GCST90670419","Gut microbiome species presence (Prevotella sp003447235, GCA_003447235.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670419","Gut microbiome species presence (Prevotella sp003447235, GCA_003447235.1)","EUR","GRCh37","exploratory",1e-05,57,57,57,13,19.5884780836904,20.9698236580695,""
"microbiome_2026","GCST90670420","Gut microbiome species abundance (UBA1417 sp003531055, GCA_021029595.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670420","Gut microbiome species abundance (UBA1417 sp003531055, GCA_021029595.1)","EUR","GRCh37","exploratory",1e-05,285,285,282,18,19.5953777777778,20.9268276830711,""
"microbiome_2026","GCST90670421","Gut microbiome species abundance (Alistipes shahii, GCA_025145845.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670421","Gut microbiome species abundance (Alistipes shahii, GCA_025145845.1)","EUR","GRCh37","exploratory",1e-05,88,88,88,24,19.7807227737298,21.4618643705067,""
"microbiome_2026","GCST90670422","Gut microbiome species presence (Sutterella wadsworthensis A, GCF_000297775.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670422","Gut microbiome species presence (Sutterella wadsworthensis A, GCF_000297775.1)","EUR","GRCh37","exploratory",1e-05,17,17,17,9,19.5229501417769,21.4042171832051,""
"microbiome_2026","GCST90670423","Gut microbiome species presence (Butyrivibrio A crossotus, GCA_025148445.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670423","Gut microbiome species presence (Butyrivibrio A crossotus, GCA_025148445.1)","EUR","GRCh37","exploratory",1e-05,60,60,60,13,19.7809735952133,21.4721470490813,""
"microbiome_2026","GCST90670424","Gut microbiome species abundance (Odoribacter splanchnicus, GCF_000190535.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670424","Gut microbiome species abundance (Odoribacter splanchnicus, GCF_000190535.1)","EUR","GRCh37","exploratory",1e-05,143,143,140,18,19.5208358055457,21.1066289695723,""
