source_id,nsnp,F_metric,F_value
GCST90671843,1,Minimum F,29.9072265625
GCST90671860,1,Minimum F,29.8674959437534
GCST90671866,1,Minimum F,32.4799122875715
GCST90671868,1,Minimum F,30.25
GCST90671882,1,Minimum F,30.9049637100575
GCST90671902,2,Minimum F,30.2986921450388
GCST90670368,1,Median F,36
GCST90670372,1,Median F,35.2174146734749
GCST90670374,1,Median F,68.4380165289256
GCST90670384,1,Median F,30.4032548421629
GCST90670385,1,Median F,30.351001599192
GCST90670387,1,Median F,31.6306523816709
GCST90670392,1,Median F,29.8433639461473
GCST90670394,1,Median F,31.2345182985414
GCST90670400,1,Median F,41.0400390625
GCST90670407,1,Median F,31.6575700391929
GCST90670408,1,Median F,32.1227360946746
GCST90670409,1,Median F,30.3420431538797
GCST90670417,1,Median F,30.4820221606648
GCST90670426,1,Median F,44.8239256771703
GCST90670427,1,Median F,31.1911712353151
GCST90670428,1,Median F,34.1604826675849
GCST90670435,1,Median F,36.587745389649
GCST90670437,1,Median F,30.7401351493295
GCST90670449,1,Median F,35.1968380177515
GCST90670457,1,Median F,30.2301476625526
GCST90670460,1,Median F,34.193341990523
GCST90670466,1,Median F,39.0625
GCST90670468,1,Median F,30.8007154599311
GCST90670473,1,Median F,45.7537379850481
GCST90670478,2,Median F,32.0317540046895
GCST90670492,1,Median F,32.1746345597062
GCST90670494,3,Median F,52.3086559278877
GCST90670495,1,Median F,30.4155565640299
GCST90670498,1,Median F,32.6530612244898
GCST90670515,1,Median F,32.547025
GCST90670517,1,Median F,34.258325697626
GCST90670524,1,Median F,39.3032544378698
GCST90670529,1,Median F,32.3585946745562
GCST90670534,1,Median F,30.6323889814724
GCST90670546,1,Median F,30.855994966943
GCST90670550,1,Median F,53.261926775148
GCST90670551,1,Median F,37.3250431906579
GCST90670554,1,Median F,30.1763183807833
GCST90670555,1,Median F,40.1394531777848
GCST90670562,1,Median F,30.116502751332
GCST90670564,1,Median F,32.3783314109958
GCST90670572,1,Median F,32.1111111111111
GCST90670586,1,Median F,34.3884735834673
GCST90670588,1,Median F,34.8923742563548
GCST90670591,1,Median F,43.833531510107
GCST90670634,1,Median F,34.660148513576
GCST90670635,1,Median F,37.1783184348119
GCST90670644,1,Median F,31.1028302921137
GCST90670680,1,Median F,40.1268086400133
GCST90670684,4,Median F,35.1196989883673
GCST90670687,1,Median F,33.6966091612136
GCST90670698,1,Median F,30.6426517415029
GCST90670700,1,Median F,36.8014596751134
GCST90670711,1,Median F,31.6537688881125
GCST90670746,1,Median F,31.1657918069188
GCST90670748,1,Median F,33.0214413265306
GCST90670749,1,Median F,31.9380523524956
GCST90670756,4,Median F,33.3526318309442
GCST90670761,1,Median F,32.508389698231
GCST90670769,1,Median F,71.0586556927298
GCST90670774,1,Median F,36.9762269156208
